job_0: TOTAL: 1066, ACCEPT: 400(37.52%), REJECT: 351(32.93%), RESERVE: 315(29.55%)
job_990: TOTAL: 1011, ACCEPT: 425(42.04%), REJECT: 296(29.28%), RESERVE: 290(28.68%)
job_991: TOTAL: 23, ACCEPT: 3(13.04%), REJECT: 20(86.96%), RESERVE: 0(0.00%)
job_992: TOTAL: 580, ACCEPT: 217(37.41%), REJECT: 172(29.66%), RESERVE: 191(32.93%)
job_993: TOTAL: 503, ACCEPT: 213(42.35%), REJECT: 151(30.02%), RESERVE: 139(27.63%)
job_994: TOTAL: 1248, ACCEPT: 435(34.86%), REJECT: 369(29.57%), RESERVE: 444(35.58%)
job_995: TOTAL: 307, ACCEPT: 250(81.43%), REJECT: 57(18.57%), RESERVE: 0(0.00%)
job_996: TOTAL: 618, ACCEPT: 300(48.54%), REJECT: 156(25.24%), RESERVE: 162(26.21%)
job_997: TOTAL: 692, ACCEPT: 273(39.45%), REJECT: 203(29.34%), RESERVE: 216(31.21%)
job_998: TOTAL: 1009, ACCEPT: 475(47.08%), REJECT: 262(25.97%), RESERVE: 272(26.96%)
job_999: TOTAL: 882, ACCEPT: 315(35.71%), REJECT: 265(30.05%), RESERVE: 302(34.24%)
TOTAL: 664900, ACCEPT: 249273(37.49%), REJECT: 234648(35.29%), RESERVE: 180979(27.22%)
